,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2014-11-24,1.05,0.86,0.9,0.88,0.83,0.67,0.77,0.78,0.7,0.67
2014-11-25,1.34,0.85,0.7,0.71,0.67,0.69,0.91,1.21,0.67,0.7
2014-11-26,0.98,0.61,0.64,0.62,0.79,0.66,0.68,0.97,0.55,0.66
2014-11-27,0.88,1.02,0.57,0.57,0.65,0.61,0.61,0.75,0.55,0.6
2014-11-28,0.81,0.96,0.66,0.64,0.76,0.61,0.78,0.75,0.64,0.61
2014-12-01,0.96,1.03,0.74,0.75,0.83,0.97,0.9,1.21,0.9,0.96
2014-12-02,1.0,0.69,0.62,0.61,0.6,0.84,0.68,0.91,0.7,0.84
2014-12-03,0.97,0.9,0.75,0.8,0.9,0.63,0.73,0.92,0.66,0.62
2014-12-04,0.97,0.91,1.22,1.13,0.7,0.81,0.78,1.0,0.69,0.81
2014-12-05,0.67,0.76,0.67,0.65,0.89,0.93,1.17,0.78,0.77,0.92
2014-12-08,0.84,0.89,0.77,0.76,0.84,0.74,1.21,1.07,0.71,0.74
2014-12-09,1.29,0.89,0.89,0.88,1.03,1.24,1.87,1.3,1.0,1.24
2014-12-10,1.17,1.16,0.84,0.89,0.82,0.89,1.65,2.05,0.86,0.9
2014-12-11,1.61,0.95,0.89,0.87,0.96,1.0,1.45,1.1,0.83,1.0
2014-12-12,0.87,0.91,0.87,0.85,0.71,0.67,0.94,0.99,0.7,0.66
2014-12-15,0.99,1.14,0.75,0.74,0.98,0.7,1.46,0.93,0.72,0.7
2014-12-16,1.09,1.16,0.92,0.92,1.15,1.06,1.83,1.32,1.01,1.06
2014-12-17,1.37,1.3,1.13,1.13,1.11,1.27,1.61,1.42,1.02,1.29
2014-12-18,1.19,0.9,1.36,0.98,1.0,0.79,1.07,1.19,0.87,0.79
2014-12-19,0.69,0.73,0.6,0.59,0.59,0.57,0.7,0.67,0.6,0.57
2014-12-22,0.59,0.65,0.55,0.54,0.57,0.51,0.7,0.77,0.64,0.5
2014-12-23,0.72,0.74,0.53,0.56,0.7,0.61,0.61,0.7,0.65,0.61
2014-12-24,0.42,0.45,0.39,0.39,0.45,0.4,0.43,0.44,0.37,0.35
2014-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-26,0.49,0.42,0.52,0.51,0.38,0.34,0.42,0.61,0.45,0.34
2014-12-29,0.62,0.5,0.55,0.54,0.55,0.49,0.53,0.76,0.49,0.49
2014-12-30,0.79,0.6,0.59,0.6,0.56,0.66,1.29,0.79,0.55,0.66
2014-12-31,0.66,0.69,0.55,0.56,0.63,0.53,0.62,0.6,0.51,0.51
