,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2018-11-23,-0.03,-0.11,0.03,-0.36,-0.26,0.32,0.28,-0.25,0.11,0.27
2018-11-26,-0.02,-0.09,-0.03,0.01,-0.01,0.17,-0.54,0.28,0.1,0.13
2018-11-27,0.22,-0.22,0.08,-0.21,-0.43,0.11,-0.06,0.44,-0.07,0.14
2018-11-28,0.71,-0.36,0.04,0.21,0.19,-0.53,-0.42,0.83,-0.13,-0.54
2018-11-29,0.17,-0.08,-0.17,0.24,-0.33,0.05,0.17,-0.22,0.19,-0.02
2018-11-30,0.02,0.11,-0.25,-0.54,-0.17,0.1,0.13,0.47,0.01,0.14
2018-12-03,-0.35,0.31,0.09,-0.01,-0.37,0.1,0.01,0.11,0.15,-0.03
2018-12-04,-0.37,-0.56,0.02,-0.12,-0.08,0.17,0.82,-0.0,0.15,-0.01
2018-12-05,-0.75,-0.48,0.28,0.3,0.44,0.15,-0.11,-0.27,0.14,0.3
2018-12-06,-0.59,-0.27,0.49,0.27,0.36,-0.02,0.45,-0.39,-0.23,-0.07
2018-12-07,-0.4,0.56,0.25,0.1,-0.46,-0.03,0.0,-0.09,0.01,0.06
2018-12-10,0.34,-0.21,0.39,-0.06,-0.96,0.28,-0.4,0.31,0.01,0.3
2018-12-11,0.29,0.19,-0.23,-0.26,-0.55,0.07,0.07,0.2,0.13,0.09
2018-12-12,-0.0,0.1,-0.26,0.28,1.01,-0.17,-0.14,-0.5,-0.09,-0.23
2018-12-13,0.09,-0.03,-0.04,-0.1,0.25,0.01,-0.28,0.03,0.05,0.01
2018-12-14,-0.39,0.13,-0.03,-0.15,-0.21,0.38,0.59,-0.67,-0.02,0.38
2018-12-17,-0.13,-0.37,0.27,0.26,-0.05,-0.17,0.35,-0.11,0.11,-0.17
2018-12-18,-0.05,-0.6,-0.09,0.05,0.07,-0.2,0.2,0.65,0.08,-0.11
2018-12-19,-0.77,0.2,0.05,0.43,0.07,0.19,0.35,-0.97,0.15,0.3
2018-12-20,-0.29,-0.47,0.48,0.37,0.1,-0.34,0.83,-0.18,-0.21,-0.3
2018-12-21,-0.64,-0.29,-0.27,-0.25,0.33,0.47,0.52,-0.59,0.2,0.51
2018-12-24,-0.13,-0.27,0.69,0.1,0.3,-0.25,0.28,-0.19,-0.27,-0.25
2018-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-26,0.54,0.47,-0.8,-0.27,-0.4,0.32,-0.72,0.24,0.36,0.25
2018-12-27,-0.59,-0.45,0.8,0.7,0.04,-0.09,0.27,-0.65,0.04,-0.07
2018-12-28,-0.04,-0.4,0.18,-0.09,0.27,-0.21,0.52,-0.16,0.13,-0.2
2018-12-31,-0.11,-0.24,0.08,0.03,0.3,-0.24,0.49,-0.16,0.09,-0.23
