"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)" 
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040330 ,2004-03-30,33874A ,CME ,00 ,138 ,   16771,    4840,     773,      52,    3719,   15112,    8611,   15937,    8160,     834,   16771,    4840,     773,      52,    3719,   15112,    8611,   15937,    8160,     834,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1961,    2410,      54,    -129,    -479,    2493,    1802,    2418,     159,    -457,  100.0,   28.9,    4.6,    0.3,   22.2,   90.1,   51.3,   95.0,   48.7,    5.0,  100.0,   28.9,    4.6,    0.3,   22.2,   90.1,   51.3,   95.0,   48.7,    5.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     33,      8,      2,      1,     11,     15,     19,     18,     33,      8,      2,      1,     11,     15,     19,     18,      0,      0,      0,      0,      0,      0,      0,      0,    24.1,    60.4,    35.4,    79.4,    23.0,    57.3,    32.6,    75.8,    24.1,    60.4,    35.4,    79.4,    23.0,    57.3,    32.6,    75.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040323 ,2004-03-23,33874A ,CME ,00 ,138 ,   14810,    2430,     719,     181,    4198,   12619,    6809,   13519,    8001,    1291,   14810,    2430,     719,     181,    4198,   12619,    6809,   13519,    8001,    1291,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  -14074,   -3439,   -6536,   -2855,  -10370,    1091,  -16664,   -8300,    2590,   -5774,  100.0,   16.4,    4.9,    1.2,   28.3,   85.2,   46.0,   91.3,   54.0,    8.7,  100.0,   16.4,    4.9,    1.2,   28.3,   85.2,   46.0,   91.3,   54.0,    8.7,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     28,      5,      2,      1,      9,     15,     14,     18,     28,      5,      2,      1,      9,     15,     14,     18,      0,      0,      0,      0,      0,      0,      0,      0,    29.1,    61.1,    39.6,    79.9,    29.1,    57.8,    37.4,    76.6,    29.1,    61.1,    39.6,    79.9,    29.1,    57.8,    37.4,    76.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040316 ,2004-03-16,33874A ,CME ,00 ,138 ,   28884,    5869,    7255,    3036,   14568,   11528,   23473,   21819,    5411,    7065,   28884,    5869,    7255,    3036,   14568,   11528,   23473,   21819,    5411,    7065,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   11364,     555,    2521,    2679,    3741,    2732,    6975,    7932,    4389,    3432,  100.0,   20.3,   25.1,   10.5,   50.4,   39.9,   81.3,   75.5,   18.7,   24.5,  100.0,   20.3,   25.1,   10.5,   50.4,   39.9,   81.3,   75.5,   18.7,   24.5,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     38,      7,      5,      4,     19,     16,     27,     24,     38,      7,      5,      4,     19,     16,     27,     24,      0,      0,      0,      0,      0,      0,      0,      0,    52.5,    39.7,    65.7,    52.9,    49.7,    34.9,    55.1,    46.6,    52.5,    39.7,    65.7,    52.9,    49.7,    34.9,    55.1,    46.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040309 ,2004-03-09,33874A ,CME ,00 ,138 ,   17520,    5314,    4734,     357,   10827,    8796,   16498,   13887,    1022,    3633,   17520,    5314,    4734,     357,   10827,    8796,   16498,   13887,    1022,    3633,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -891,   -1181,     554,     110,     530,   -1884,    -541,   -1220,    -350,     329,  100.0,   30.3,   27.0,    2.0,   61.8,   50.2,   94.2,   79.3,    5.8,   20.7,  100.0,   30.3,   27.0,    2.0,   61.8,   50.2,   94.2,   79.3,    5.8,   20.7,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     37,      4,      6,      2,     17,     14,     22,     21,     37,      4,      6,      2,     17,     14,     22,     21,      0,      0,      0,      0,      0,      0,      0,      0,    70.7,    29.7,    80.2,    50.3,    69.1,    29.6,    75.6,    50.2,    70.7,    29.7,    80.2,    50.3,    69.1,    29.6,    75.6,    50.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040302 ,2004-03-02,33874A ,CME ,00 ,138 ,   18411,    6495,    4180,     247,   10297,   10680,   17039,   15107,    1372,    3304,   18411,    6495,    4180,     247,   10297,   10680,   17039,   15107,    1372,    3304,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     421,     576,      85,      10,     -69,     474,     517,     569,     -96,    -148,  100.0,   35.3,   22.7,    1.3,   55.9,   58.0,   92.5,   82.1,    7.5,   17.9,  100.0,   35.3,   22.7,    1.3,   55.9,   58.0,   92.5,   82.1,    7.5,   17.9,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     35,      6,      6,      1,     12,     14,     19,     20,     35,      6,      6,      1,     12,     14,     19,     20,      0,      0,      0,      0,      0,      0,      0,      0,    69.0,    33.1,    78.5,    53.2,    68.4,    31.7,    76.3,    50.5,    69.0,    33.1,    78.5,    53.2,    68.4,    31.7,    76.3,    50.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040224 ,2004-02-24,33874A ,CME ,00 ,138 ,   17990,    5919,    4095,     237,   10366,   10206,   16522,   14538,    1468,    3452,   17990,    5919,    4095,     237,   10366,   10206,   16522,   14538,    1468,    3452,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -200,   -1447,   -2433,    -214,    1538,    -235,    -123,   -2882,     -77,    2682,  100.0,   32.9,   22.8,    1.3,   57.6,   56.7,   91.8,   80.8,    8.2,   19.2,  100.0,   32.9,   22.8,    1.3,   57.6,   56.7,   91.8,   80.8,    8.2,   19.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     36,      6,      6,      1,     13,     14,     19,     21,     36,      6,      6,      1,     13,     14,     19,     21,      0,      0,      0,      0,      0,      0,      0,      0,    67.6,    36.7,    79.2,    56.3,    67.6,    36.7,    75.5,    56.3,    67.6,    36.7,    79.2,    56.3,    67.6,    36.7,    75.5,    56.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040217 ,2004-02-17,33874A ,CME ,00 ,138 ,   18190,    7366,    6528,     451,    8828,   10441,   16645,   17420,    1545,     770,   18190,    7366,    6528,     451,    8828,   10441,   16645,   17420,    1545,     770,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     614,     745,     483,      57,    -206,    -171,     596,     369,      18,     245,  100.0,   40.5,   35.9,    2.5,   48.5,   57.4,   91.5,   95.8,    8.5,    4.2,  100.0,   40.5,   35.9,    2.5,   48.5,   57.4,   91.5,   95.8,    8.5,    4.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     37,      7,      7,      1,     14,     13,     21,     21,     37,      7,      7,      1,     14,     13,     21,     21,      0,      0,      0,      0,      0,      0,      0,      0,    63.2,    51.1,    74.9,    71.1,    63.2,    51.1,    73.5,    70.9,    63.2,    51.1,    74.9,    71.1,    63.2,    51.1,    73.5,    70.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040210 ,2004-02-10,33874A ,CME ,00 ,138 ,   17576,    6621,    6045,     394,    9034,   10612,   16049,   17051,    1527,     525,   17576,    6621,    6045,     394,    9034,   10612,   16049,   17051,    1527,     525,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     697,    -279,     254,     212,     861,     313,     794,     779,     -97,     -82,  100.0,   37.7,   34.4,    2.2,   51.4,   60.4,   91.3,   97.0,    8.7,    3.0,  100.0,   37.7,   34.4,    2.2,   51.4,   60.4,   91.3,   97.0,    8.7,    3.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     36,      6,      7,      1,     13,     13,     20,     20,     36,      6,      7,      1,     13,     13,     20,     20,      0,      0,      0,      0,      0,      0,      0,      0,    63.7,    53.2,    74.7,    72.2,    63.7,    53.2,    73.9,    72.2,    63.7,    53.2,    74.7,    72.2,    63.7,    53.2,    73.9,    72.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040203 ,2004-02-03,33874A ,CME ,00 ,138 ,   16879,    6900,    5791,     182,    8173,   10299,   15255,   16272,    1624,     607,   16879,    6900,    5791,     182,    8173,   10299,   15255,   16272,    1624,     607,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1274,      35,    1899,     149,     949,    -449,    1133,    1599,     141,    -325,  100.0,   40.9,   34.3,    1.1,   48.4,   61.0,   90.4,   96.4,    9.6,    3.6,  100.0,   40.9,   34.3,    1.1,   48.4,   61.0,   90.4,   96.4,    9.6,    3.6,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     38,      5,      9,      1,     13,     14,     19,     23,     38,      5,      9,      1,     13,     14,     19,     23,      0,      0,      0,      0,      0,      0,      0,      0,    66.4,    52.6,    77.2,    71.5,    66.4,    52.6,    75.9,    71.2,    66.4,    52.6,    77.2,    71.5,    66.4,    52.6,    75.9,    71.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040127 ,2004-01-27,33874A ,CME ,00 ,138 ,   15605,    6865,    3892,      33,    7224,   10748,   14122,   14673,    1483,     932,   15605,    6865,    3892,      33,    7224,   10748,   14122,   14673,    1483,     932,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2059,    1460,      89,      33,     390,    2206,    1883,    2328,     176,    -269,  100.0,   44.0,   24.9,    0.2,   46.3,   68.9,   90.5,   94.0,    9.5,    6.0,  100.0,   44.0,   24.9,    0.2,   46.3,   68.9,   90.5,   94.0,    9.5,    6.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     35,      6,      6,      1,     12,     15,     18,     22,     35,      6,      6,      1,     12,     15,     18,     22,      0,      0,      0,      0,      0,      0,      0,      0,    65.7,    49.3,    77.2,    68.8,    65.7,    49.3,    75.7,    67.4,    65.7,    49.3,    77.2,    68.8,    65.7,    49.3,    75.7,    67.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040120 ,2004-01-20,33874A ,CME ,00 ,138 ,   13546,    5405,    3803,       0,    6834,    8542,   12239,   12345,    1307,    1201,   13546,    5405,    3803,       0,    6834,    8542,   12239,   12345,    1307,    1201,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1155,    -393,     246,     -71,    1396,    1601,     932,    1776,     223,    -621,  100.0,   39.9,   28.1,    0.0,   50.5,   63.1,   90.4,   91.1,    9.6,    8.9,  100.0,   39.9,   28.1,    0.0,   50.5,   63.1,   90.4,   91.1,    9.6,    8.9,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     34,      5,      7,      0,     13,     13,     18,     20,     34,      5,      7,      0,     13,     13,     18,     20,      0,      0,      0,      0,      0,      0,      0,      0,    57.9,    44.6,    70.3,    66.6,    57.9,    44.6,    69.1,    63.8,    57.9,    44.6,    70.3,    66.6,    57.9,    44.6,    69.1,    63.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040113 ,2004-01-13,33874A ,CME ,00 ,138 ,   12391,    5798,    3557,      71,    5438,    6941,   11307,   10569,    1084,    1822,   12391,    5798,    3557,      71,    5438,    6941,   11307,   10569,    1084,    1822,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     620,     -99,     -95,     -98,    1252,     762,    1055,     569,    -435,      51,  100.0,   46.8,   28.7,    0.6,   43.9,   56.0,   91.3,   85.3,    8.7,   14.7,  100.0,   46.8,   28.7,    0.6,   43.9,   56.0,   91.3,   85.3,    8.7,   14.7,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     33,      4,      7,      1,     11,     15,     15,     23,     33,      4,      7,      1,     11,     15,     15,     23,      0,      0,      0,      0,      0,      0,      0,      0,    68.8,    35.3,    82.5,    56.6,    66.9,    34.4,    75.0,    53.4,    68.8,    35.3,    82.5,    56.6,    66.9,    34.4,    75.0,    53.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040106 ,2004-01-06,33874A ,CME ,00 ,138 ,   11771,    5897,    3652,     169,    4186,    6179,   10252,   10000,    1519,    1771,   11771,    5897,    3652,     169,    4186,    6179,   10252,   10000,    1519,    1771,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2326,    1690,    1711,     104,     375,    -731,    2169,    1084,     157,    1242,  100.0,   50.1,   31.0,    1.4,   35.6,   52.5,   87.1,   85.0,   12.9,   15.0,  100.0,   50.1,   31.0,    1.4,   35.6,   52.5,   87.1,   85.0,   12.9,   15.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     32,      6,      7,      1,      9,     14,     15,     22,     32,      6,      7,      1,      9,     14,     15,     22,      0,      0,      0,      0,      0,      0,      0,      0,    62.9,    32.7,    76.8,    54.4,    62.2,    31.6,    70.8,    51.5,    62.9,    32.7,    76.8,    54.4,    62.2,    31.6,    70.8,    51.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"3-MO. EUROYEN TIBOR - CHICAGO MERCANTILE EXCHANGE" ,041228 ,2004-12-28,597741 ,CME ,00 ,597 ,  112568,     432,    6593,    2574,   46087,   77949,   49093,   87116,   63475,   25452,  112568,     432,    6593,    2574,   46087,   77949,   49093,   87116,   63475,   25452,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     820,    -265,       1,       0,     -41,    1202,    -306,    1203,    1126,    -383,  100.0,    0.4,    5.9,    2.3,   40.9,   69.2,   43.6,   77.4,   56.4,   22.6,  100.0,    0.4,    5.9,    2.3,   40.9,   69.2,   43.6,   77.4,   56.4,   22.6,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     45,      3,     14,      3,     13,     23,     18,     39,     45,      3,     14,      3,     13,     23,     18,     39,      0,      0,      0,      0,      0,      0,      0,      0,    38.4,    58.2,    41.9,    66.8,     5.2,    29.7,     5.9,    33.9,    38.4,    58.2,    41.9,    66.8,     5.2,    29.7,     5.9,    33.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF Y100,000,000 FACE VALUE)" ,"597741" ,"CME" ,"597"
"3-MO. EUROYEN TIBOR - CHICAGO MERCANTILE EXCHANGE" ,041221 ,2004-12-21,597741 ,CME ,00 ,597 ,  111748,     697,    6592,    2574,   46128,   76747,   49399,   85913,   62349,   25835,  111748,     697,    6592,    2574,   46128,   76747,   49399,   85913,   62349,   25835,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -4016,      82,    -330,       0,    1880,   -3675,    1962,   -4005,   -5978,     -11,  100.0,    0.6,    5.9,    2.3,   41.3,   68.7,   44.2,   76.9,   55.8,   23.1,  100.0,    0.6,    5.9,    2.3,   41.3,   68.7,   44.2,   76.9,   55.8,   23.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     44,      4,     14,      3,     12,     22,     18,     38,     44,      4,     14,      3,     12,     22,     18,     38,      0,      0,      0,      0,      0,      0,      0,      0,    39.2,    58.5,    42.5,    67.2,     5.3,    29.2,     5.8,    33.2,    39.2,    58.5,    42.5,    67.2,     5.3,    29.2,     5.8,    33.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF Y100,000,000 FACE VALUE)" ,"597741" ,"CME" ,"597"
"3-MO. EUROYEN TIBOR - CHICAGO MERCANTILE EXCHANGE" ,041214 ,2004-12-14,597741 ,CME ,00 ,597 ,  115764,     615,    6922,    2574,   44248,   80422,   47437,   89918,   68327,   25846,  115764,     615,    6922,    2574,   44248,   80422,   47437,   89918,   68327,   25846,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  -18676,   -1507,     736,     168,  -13851,   -5601,  -15190,   -4697,   -3486,  -13979,  100.0,    0.5,    6.0,    2.2,   38.2,   69.5,   41.0,   77.7,   59.0,   22.3,  100.0,    0.5,    6.0,    2.2,   38.2,   69.5,   41.0,   77.7,   59.0,   22.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     45,      3,     13,      3,     12,     24,     18,     39,     45,      3,     13,      3,     12,     24,     18,     39,      0,      0,      0,      0,      0,      0,      0,      0,    35.8,    57.2,    39.2,    66.0,     3.8,    29.3,     4.5,    34.9,    35.8,    57.2,    39.2,    66.0,     3.8,    29.3,     4.5,    34.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF Y100,000,000 FACE VALUE)" ,"597741" ,"CME" ,"597"
"3-MO. EUROYEN TIBOR - CHICAGO MERCANTILE EXCHANGE" ,041207 ,2004-12-07,597741 ,CME ,00 ,597 ,  134440,    2122,    6186,    2406,   58099,   86023,   62627,   94615,   71813,   39825,  134440,    2122,    6186,    2406,   58099,   86023,   62627,   94615,   71813,   39825,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -1675,     447,    -288,     581,     818,    -457,    1846,    -164,   -3521,   -1511,  100.0,    1.6,    4.6,    1.8,   43.2,   64.0,   46.6,   70.4,   53.4,   29.6,  100.0,    1.6,    4.6,    1.8,   43.2,   64.0,   46.6,   70.4,   53.4,   29.6,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     53,      6,     12,      6,     15,     28,     25,     45,     53,      6,     12,      6,     15,     28,     25,     45,      0,      0,      0,      0,      0,      0,      0,      0,    40.3,    50.2,    43.7,    58.0,     4.1,    16.7,     5.0,    22.2,    40.3,    50.2,    43.7,    58.0,     4.1,    16.7,     5.0,    22.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF Y100,000,000 FACE VALUE)" ,"597741" ,"CME" ,"597"
"3-MO. EUROYEN TIBOR - CHICAGO MERCANTILE EXCHANGE" ,041130 ,2004-11-30,597741 ,CME ,00 ,597 ,  136115,    1675,    6474,    1825,   57281,   86480,   60781,   94779,   75334,   41336,  136115,    1675,    6474,    1825,   57281,   86480,   60781,   94779,   75334,   41336,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    3527,       0,     339,    -270,    3156,    2110,    2886,    2179,     641,    1348,  100.0,    1.2,    4.8,    1.3,   42.1,   63.5,   44.7,   69.6,   55.3,   30.4,  100.0,    1.2,    4.8,    1.3,   42.1,   63.5,   44.7,   69.6,   55.3,   30.4,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     47,      4,     11,      6,     13,     27,     22,     41,     47,      4,     11,      6,     13,     27,     22,     41,      0,      0,      0,      0,      0,      0,      0,      0,    39.5,    50.3,    42.8,    58.0,     4.0,    17.5,     4.7,    23.1,    39.5,    50.3,    42.8,    58.0,     4.0,    17.5,     4.7,    23.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF Y100,000,000 FACE VALUE)" ,"597741" ,"CME" ,"597"
"3-MO. EUROYEN TIBOR - CHICAGO MERCANTILE EXCHANGE" ,041123 ,2004-11-23,597741 ,CME ,00 ,597 ,  132588,    1675,    6135,    2095,   54125,   84370,   57895,   92600,   74693,   39988,  132588,    1675,    6135,    2095,   54125,   84370,   57895,   92600,   74693,   39988,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    3627,     -83,    -162,    1596,    4570,     894,    6083,    2328,   -2456,    1299,  100.0,    1.3,    4.6,    1.6,   40.8,   63.6,   43.7,   69.8,   56.3,   30.2,  100.0,    1.3,    4.6,    1.6,   40.8,   63.6,   43.7,   69.8,   56.3,   30.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     47,      4,     11,      7,     13,     27,     23,     41,     47,      4,     11,      7,     13,     27,     23,     41,      0,      0,      0,      0,      0,      0,      0,      0,    38.2,    50.1,    41.6,    58.1,     3.7,    18.2,     4.4,    24.1,    38.2,    50.1,    41.6,    58.1,     3.7,    18.2,     4.4,    24.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF Y100,000,000 FACE VALUE)" ,"597741" ,"CME" ,"597"
